,title,artist,rank,total_swear,percent_swear
0,"""B"" Girls",Young And Restless,54,0,0.0
1,#1,Nelly,22,4,0.010610079575596816
2,#SELFIE,The Chainsmokers,16,1,0.005813953488372093
3,#thatPOWER,will.i.am Featuring Justin Bieber,19,0,0.0
4,$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,73,25,0.043859649122807015
5,'03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,4,0,0.0
6,'65 Love Affair,Paul Davis,6,0,0.0
7,'98 Braves,Morgan Wallen,48,2,0.013071895424836602
8,'Til My Baby Comes Home,Luther Vandross,29,0,0.0
9,'Til Summer Comes Around,Keith Urban,58,0,0.0
10,'Til You Can't,Cody Johnson,18,0,0.0
11,'Til You Do Me Right,After 7,31,0,0.0
12,'Tis The Damn Season,Taylor Swift,91,4,0.02197802197802198
13,(Baby Tell Me) Can You Dance,Shanice Wilson,50,0,0.0
14,(Believed You Were) Lucky,'Til Tuesday,95,1,0.010526315789473684
15,(Between A) Rock And A Hard Place,Cutting Crew,77,0,0.0
16,(Call Me) When The Spirit Moves You,Touch,69,0,0.0
17,(Can't Live Without Your) Love And Affection,Nelson,3,0,0.0
18,(Closest Thing To) Perfect,Jermaine Jackson,73,0,0.0
19,(Come On) Shout,Alex Brown,76,0,0.0
20,(Everything I Do) I Do It For You,Bryan Adams,1,0,0.0
21,(Forever) Live And Die,Orchestral Manoeuvres In The Dark,19,0,0.0
22,(Ghost) Riders In The Sky,Outlaws,31,0,0.0
23,(God Must Have Spent) A Little More Time On You,*NSYNC,8,0,0.0
24,(Hot S**t) Country Grammar,Nelly,7,10,0.02197802197802198
25,(How To Be A) Millionaire,ABC,23,0,0.0
26,(I Could Only) Whisper Your Name,"Harry Connick, Jr.",67,0,0.0
27,(I Hate) Everything About You,Three Days Grace,55,0,0.0
28,(I Just) Died In Your Arms,Cutting Crew,1,0,0.0
29,(I Know I Got) Skillz,Shaquille O'Neal,35,2,0.004514672686230248
30,(I Never Promised You A) Rose Garden,Martina McBride,100,0,0.0
31,(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,2,0,0.0
32,(I've Had) The Time Of My Life,Glee Cast,38,0,0.0
33,(If There Was) Any Other Way,Celine Dion,35,0,0.0
34,(If You're Not In It For Love) I'm Outta Here!/The Woman In Me,Shania Twain,74,0,0.0
35,(If You're Wondering If I Want You To) I Want You To,Weezer,81,0,0.0
36,(It's Just) The Way That You Love Me,Paula Abdul,3,0,0.0
37,(It) Feels So Good,Steven Tyler,70,0,0.0
38,(Just Like) Starting Over,John Lennon,1,0,0.0
39,(Keep Feeling) Fascination,The Human League,8,0,0.0
40,(Kissed You) Good Night,Gloriana,36,0,0.0
41,(Lay Your Head On My) Pillow,Tony Toni Tone,33,0,0.0
42,(Now You See Me) Now You Don't,Lee Ann Womack,72,0,0.0
43,(Oh) Pretty Woman,Van Halen,12,0,0.0
44,(Pride) In The Name Of Love,U2,35,0,0.0
45,(Reach Up For The) Sunrise,Duran Duran,89,0,0.0
46,(She's Got) Skillz,All-4-One,60,0,0.0
47,(She's) Some Kind Of Wonderful,Huey Lewis & The News,46,0,0.0
48,(Sittin' On) The Dock Of The Bay,The Reddings,55,0,0.0
49,(There's Gotta Be) More To Life,Stacie Orrico,30,0,0.0
50,(There's) No Gettin' Over Me,Ronnie Milsap,5,0,0.0
51,(Want You) Back In My Life Again,Carpenters,72,0,0.0
52,(When You Gonna) Give It Up To Me,Sean Paul Feat. Keyshia Cole,4,0,0.0
53,(You Can Still) Rock In America,Night Ranger,53,0,0.0
54,(You Drive Me) Crazy,Britney Spears,14,0,0.0
55,(You Gotta) Fight For Your Right (To Party!),Beastie Boys,8,0,0.0
56,(You Want To) Make A Memory,Bon Jovi,39,1,0.010309278350515464
57,(You're My One And Only) True Love,Seduction,23,0,0.0
58,(You're Puttin') A Rush On Me,Stephanie Mills,85,0,0.0
59,(she's) Sexy + 17,Stray Cats,5,0,0.0
60,(what) In The Name Of Love,Naked Eyes,39,0,0.0
61,"(you're So Square) Baby, I Don't Care",Joni Mitchell,47,0,0.0
62,...Baby One More Time,Britney Spears,1,0,0.0
63,...Ready For It?,Taylor Swift,21,0,0.0
64,0 To 100 / The Catch Up,Drake,35,31,0.06485355648535565
65,1 Night,Lil Yachty,49,5,0.04504504504504504
66,"1 Step Forward, 3 Steps Back",Olivia Rodrigo,19,1,0.007751937984496124
67,1 Thing,Amerie,10,0,0.0
68,1+1,Beyonce,89,1,0.008771929824561403
69,"1, 2 Many",Luke Combs & Brooks & Dunn,97,4,0.019138755980861243
70,"1, 2 Step",Ciara Featuring Missy Elliott,2,1,0.004048582995951417
71,"1, 2, 3, 4",Plain White T's,34,0,0.0
72,"1, 2, 3, 4 (Sumpin' New)",Coolio,5,5,0.013440860215053764
73,1-2-3,Gloria Estefan & Miami Sound Machine,5,0,0.0
74,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,1,0.0040650406504065045
75,1-Luv,E-40 (Featuring Leviti),71,2,0.0035460992907801418
76,1.5,21 Savage,86,12,0.04240282685512368
77,10 Bands,Drake,58,7,0.025454545454545455
78,10 Freaky Girls,Metro Boomin Featuring 21 Savage,56,3,0.00909090909090909
79,"10,000 Hours",Dan + Shay & Justin Bieber,5,0,0.0
80,10-9-8,Face To Face,38,0,0.0
81,100,The Game Featuring Drake,82,31,0.06485355648535565
82,100 Years,Five For Fighting,31,0,0.0
83,100% Pure Love,Crystal Waters,11,0,0.0
84,1234,Feist,8,0,0.0
85,1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD,55,32,0.10158730158730159
86,15 Minutes,Marc Nelson,27,3,0.013392857142857142
87,17,Rick James,36,0,0.0
88,18,One Direction,87,0,0.0
89,18 And Life,Skid Row,4,0,0.0
90,180 (Lifestyle),Morgan Wallen,96,0,0.0
91,19,Paul Hardcastle,15,0,0.0
92,19 Somethin',Mark Wills,23,0,0.0
93,19 You + Me,Dan + Shay,42,1,0.006944444444444444
94,1901,Phoenix,88,0,0.0
95,1942,G-Eazy Featuring Yo Gotti & YBN Nahmir,70,2,0.006172839506172839
96,1973,James Blunt,81,0,0.0
97,1979,The Smashing Pumpkins,12,0,0.0
98,1985,Bowling For Soup,23,1,0.0045662100456621
99,1994,Jason Aldean,52,0,0.0
100,1999,Prince,12,0,0.0
101,1st Of Tha Month,Bone Thugs-N-Harmony,14,3,0.00411522633744856
102,1st Time,Yung Joc Featuring Marques Houston & Trey Songz,87,0,0.0
103,2 Be Loved (Am I Ready),Lizzo,55,4,0.018867924528301886
104,2 Become 1,Spice Girls,5,0,0.0
105,2 Legit 2 Quit,M.C. Hammer,5,0,0.0
106,2 On,Tinashe Featuring ScHoolboy Q,24,4,0.012658227848101266
107,2 Phones,Kevin Gates,18,11,0.026570048309178744
108,2 Reasons,Trey Songz Featuring T.I.,45,35,0.11824324324324324
109,2 Step,Unk,24,2,0.004291845493562232
110,20/20,George Benson,48,0,0.0
111,20/20,Lil Tjay,94,17,0.04509283819628647
112,2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,31,0,0.0
113,2040,Lil Baby & Lil Durk,31,16,0.03902439024390244
114,2055,Sleepy Hallow,51,3,0.014354066985645933
115,21,Polo G,84,5,0.018867924528301886
116,21 Guns,Green Day,26,0,0.0
117,21 Questions,50 Cent Featuring Nate Dogg,1,0,0.0
118,22,Taylor Swift,21,0,0.0
119,223's,YNW Melly & 9lokknine,34,11,0.03642384105960265
120,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",12,3,0.0066815144766146995
121,23,Sam Hunt,50,0,0.0
122,24,Kanye West,43,0,0.0
123,24 Hours,A Boogie Wit da Hoodie Featuring Lil Durk,92,10,0.03003003003003003
124,24 Hours,TeeFLii Featuring 2 Chainz,86,3,0.012195121951219513
125,24's,T.I.,78,10,0.020202020202020204
126,24/7,Kevon Edmonds,10,0,0.0
127,24/7,Meek Mill Featuring Ella Mai,67,5,0.017985611510791366
128,24K Magic,Bruno Mars,4,4,0.013333333333333334
129,25 Million,Roddy Ricch,77,11,0.030555555555555555
130,25k Jacket,Gunna Featuring Lil Baby,67,0,0.0
131,26 Cents,The Wilkinsons,55,0,0.0
132,2U,David Guetta Featuring Justin Bieber,27,0,0.0
133,2step,Ed Sheeran Featuring Lil Baby,48,2,0.009569377990430622
134,3,Britney Spears,1,0,0.0
135,3 A.M. Eternal,The KLF,5,0,0.0
136,3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,43,10,0.03424657534246575
137,3 Little Words,Nu Flavor,89,0,0.0
138,30 For 30 Freestyle,Drake,92,9,0.02601156069364162
139,31 Days,Future,65,22,0.04066543438077634
140,32 Flavors,Alana Davis,37,0,0.0
141,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2,11,0.04059040590405904
142,365,Zedd & Katy Perry,86,0,0.0
143,3AM On Glenwood,21 Savage,27,3,0.012875536480686695
144,4 AM,2 Chainz Featuring Travis Scott,55,7,0.01808785529715762
145,4 AM,Melanie Fiona,81,3,0.018867924528301886
146,4 Da Gang,42 Dugg & Roddy Ricch,67,10,0.03164556962025317
147,4 Da Gang,Future,92,0,0.0
148,4 In The Morning,Gwen Stefani,54,0,0.0
149,4 Minutes,Avant,57,4,0.014492753623188406
150,4 Minutes,Glee Cast,89,1,0.0049261083743842365
151,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,3,1,0.002688172043010753
152,4 My Town (Play Ball),Birdman Featuring Drake & Lil Wayne,97,10,0.02557544757033248
153,4 Seasons Of Loneliness,Boyz II Men,2,0,0.0
154,"4, 3, 2, 1","LL Cool J Featuring Method Man, Redman, DMX, Canibus And Master P",79,13,0.024714828897338403
155,44 Bulldog,Pop Smoke,39,4,0.011764705882352941
156,44 More,Logic,65,16,0.0463768115942029
157,4422,Drake Featuring Sampha,82,0,0.0
158,444+222,Lil Uzi Vert,60,20,0.03717472118959108
159,4:44,JAY-Z,61,3,0.0136986301369863
160,4th Baby Mama,Summer Walker,56,10,0.047619047619047616
161,4th Dimension,KIDS SEE GHOSTS Featuring Louis Prima,42,2,0.010810810810810811
162,5 Foot 9,Tyler Hubbard,22,0,0.0
163,5 Leaf Clover,Luke Combs,33,0,0.0
164,5 Miles To Empty,Brownstone,39,0,0.0
165,5 O'Clock,Nonchalant,24,2,0.006430868167202572
166,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,10,3,0.007142857142857143
167,5 Star,Yo Gotti,84,38,0.0824295010845987
168,5% Tint,Travis Scott,36,13,0.05220883534136546
169,5-1-5-0,Dierks Bentley,34,0,0.0
170,5-4-3-2 (Yo! Time Is Up),Jade,72,0,0.0
171,50 Shots,YoungBoy Never Broke Again,59,29,0.07493540051679587
172,50 Ways To Say Goodbye,Train,20,0,0.0
173,500 Miles,Hooters,97,0,0.0
174,500lbs,Lil Tecca,55,8,0.03225806451612903
175,5500 Degrees,"EST Gee Featuring Lil Baby, 42 Dugg & Rylo Rodriguez",100,14,0.03608247422680412
176,57 Channels (And Nothin' On),Bruce Springsteen,68,0,0.0
177,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,9,25,0.05434782608695652
178,6 God,Drake,83,2,0.010869565217391304
179,6 Inch,Beyonce Featuring The Weeknd,18,7,0.028925619834710745
180,6 Kiss,Trippie Redd Featuring Juice WRLD & YNW Melly,60,26,0.0912280701754386
181,6 Man,Drake,97,12,0.07272727272727272
182,6 Minutes Of Pleasure,LL Cool J,100,0,0.0
183,6 Underground,Sneaker Pimps,48,0,0.0
184,679,Fetty Wap Featuring Remy Boyz,4,4,0.01282051282051282
185,7,Prince And The New Power Generation,8,0,0.0
186,7 Days,Craig David,12,1,0.004132231404958678
187,7 Rings,Ariana Grande,1,4,0.01680672268907563
188,7 Summers,Morgan Wallen,6,0,0.0
189,7 Things,Miley Cyrus,10,0,0.0
190,7 Years,Lukas Graham,2,0,0.0
191,7/11,Beyonce,18,0,0.0
192,712PM,Future,64,16,0.04804804804804805
193,7500 OBO,Tim McGraw,73,1,0.00423728813559322
194,777-9311,The Time,88,0,0.0
195,7969 Santa,Drake,16,28,0.10687022900763359
196,7am On Bridle Path,Drake,57,8,0.020202020202020204
197,8,Billie Eilish,79,0,0.0
198,8 Out Of 10,Drake,59,5,0.01968503937007874
199,808,Blaque,8,2,0.0035087719298245615
200,80s Mercedes,Maren Morris,74,3,0.01764705882352941
201,853-5937,Squeeze,32,0,0.0
202,865,Morgan Wallen,74,0,0.0
203,867-5309/jenny,Tommy Tutone,4,0,0.0
204,8am In Charlotte,Drake,17,8,0.01927710843373494
205,8th Of November,Big & Rich,95,3,0.014084507042253521
206,8th Wonder,Sugarhill Gang,85,0,0.0
207,8th World Wonder,Kimberley Locke,49,0,0.0
208,9,Drake,72,6,0.02247191011235955
209,9 AM In Dallas,Drake,57,14,0.043343653250773995
210,9 Piece,Rick Ross Featuring Lil Wayne Or T.I.,86,19,0.06209150326797386
211,9 To 5,Dolly Parton,1,0,0.0
212,90's Girl,Blackgirl,71,0,0.0
213,911,Wyclef Jean Featuring Mary J. Blige,42,0,0.0
214,92 Explorer,Post Malone,40,11,0.03754266211604096
215,93 'Til Infinity,Souls Of Mischief,76,10,0.01953125
216,96 Tears,Garland Jeffreys,66,0,0.0
217,99,Toto,27,0,0.0
218,99 1/2,Carol Lynn Townes,77,0,0.0
219,99 Luftballons,Nena,2,0,0.0
220,99 Problems,JAY-Z,30,21,0.056
221,99 Worlds,Peter Wolf,86,0,0.0
222,99.9% Sure (I've Never Been Here Before),Brian McComas,57,0,0.0
223,9th Wonder (Slicker This Year),Digable Planets,80,1,0.0025380710659898475
224,A Bad Goodbye,Clint Black With Wynonna,43,0,0.0
225,A Bay Bay,Hurricane Chris,8,0,0.0
226,A Better Love,Londonbeat,20,0,0.0
227,A Bitter End,Deryl Dodd,90,0,0.0
228,A Broken Wing,Jordin Sparks,66,0,0.0
229,A Certain Girl,Warren Zevon,69,0,0.0
230,A Chance For Heaven,Christopher Cross,76,0,0.0
231,A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones,92,2,0.011111111111111112
232,A Day In My Life (Without You),Lisette Melendez,50,0,0.0
233,A Different Corner,George Michael,7,0,0.0
234,A Different World,Bucky Covington,58,0,0.0
235,A Dreams A Dream,Soul II Soul,85,0,0.0
236,A Face In The Crowd,Tom Petty,46,0,0.0
237,A Few Questions,Clay Walker,55,0,0.0
238,A Fine Fine Day,Tony Carey,24,0,0.0
239,A Girl In Trouble (Is A Temporary Thing),Romeo Void,35,0,0.0
240,A Girl Like You,Easton Corbin,98,0,0.0
241,A Girl Like You,The Smithereens,39,1,0.006993006993006993
242,A Good Day To Run,Darryl Worley,78,0,0.0
243,A Good Heart,Feargal Sharkey,74,0,0.0
244,A Great Big Sled,The Killers Featuring Toni Halliday,54,0,0.0
245,A Guy Walks Into A Bar,Tyler Farr,52,0,0.0
246,A Guy With A Girl,Blake Shelton,51,0,0.0
247,A Heart In New York,Art Garfunkel,66,0,0.0
248,A Holly Jolly Christmas,Burl Ives,4,2,0.014925373134328358
249,A Keeper,Drake,21,1,0.006622516556291391
250,A Kind Of Magic,Queen,43,0,0.0
251,A La Primera Persona,Alejandro Sanz,100,0,0.0
252,A Lesson In Leavin',Dottie West,77,0,0.0
253,A Life Of Illusion,Joe Walsh,34,0,0.0
254,A Light That Never Comes,Linkin Park X Steve Aoki,65,0,0.0
255,A Little Bit Of Ecstasy,Jocelyn Enriquez,55,0,0.0
256,A Little Bit Of Love (Is All It Takes),New Edition,38,0,0.0
257,A Little Bit Stronger,Sara Evans,34,0,0.0
258,A Little Bit of Heaven,Natalie Cole,85,0,0.0
259,A Little Gasoline,Terri Clark,75,0,0.0
260,A Little Good News,Anne Murray,74,0,0.0
261,A Little In Love,Cliff Richard,17,0,0.0
262,A Little Is Enough,Pete Townshend,72,0,0.0
263,A Little Less Conversation,Elvis Presley vs JXL,50,0,0.0
264,"A Little Less Sixteen Candles, A Little More Touch Me",Fall Out Boy,70,0,0.0
265,A Little Love,Corey Hart,39,0,0.0
266,A Little Love,Juice Newton,44,0,0.0
267,A Little More Country Than That,Easton Corbin,43,0,0.0
268,A Little More Summertime,Jason Aldean,52,0,0.0
269,A Little Past Little Rock,Lee Ann Womack,43,0,0.0
270,A Little Respect,Erasure,15,0,0.0
271,A Little Too Late,Toby Keith,54,0,0.0
272,A Little Too Much,Shawn Mendes,94,0,0.0
273,A Long Walk,Jill Scott,43,1,0.004048582995951417
274,A Lot,21 Savage,12,6,0.011834319526627219
275,A Lot Of Things Different,Kenny Chesney,58,0,0.0
276,A Love Bizarre,Sheila E.,11,0,0.0
277,A Love Song,Kenny Rogers,47,0,0.0
278,A Lover's Holiday,Change,41,2,0.015267175572519083
279,A Lucky Guy,Rickie Lee Jones,64,0,0.0
280,A Man Ain't Made Of Stone,Randy Travis,83,0,0.0
281,A Man Holdin' On (To A Woman Lettin' Go),Ty Herndon,81,0,0.0
282,A Matter Of Trust,Billy Joel,12,0,0.0
283,A Milli,Lil Wayne,6,23,0.0782312925170068
284,A Million Dreams,P!nk,90,0,0.0
285,A Million Miles Away,The Plimsouls,82,0,0.0
286,A Moment Like This,Kelly Clarkson,1,0,0.0
287,A New Day Has Come,Celine Dion,22,0,0.0
288,A Night To Remember,Joe Diffie,38,0,0.0
289,A Night To Remember,Shalamar,44,0,0.0
290,A Nightmare On My Street,D.J. Jazzy Jeff & The Fresh Prince,15,2,0.0053475935828877
291,A Penny For Your Thoughts,Tavares,33,0,0.0
292,A Promise I Make,Dakota Moon,70,0,0.0
293,A Public Affair,Jessica Simpson,20,0,0.0
294,A Real Fine Place To Start,Sara Evans,40,0,0.0
295,A Rose Is Still A Rose,Aretha Franklin,27,0,0.0
296,A Shoulder To Cry On,Tommy Page,29,0,0.0
297,A Sky Full Of Stars,Coldplay,10,0,0.0
298,A Song For Mama,Boyz II Men,7,0,0.0
299,"A Thin Line Between Love & Hate (From ""A Thin Line..."")",H-Town,38,0,0.0
300,A Thousand Bad Times,Post Malone,60,7,0.033816425120772944
301,A Thousand Miles,Vanessa Carlton,5,0,0.0
302,A Thousand Years,Christina Perri,31,0,0.0
303,A Trick Of The Night,Bananarama,82,0,0.0
304,A View To A Kill,Duran Duran,1,0,0.0
305,A Whole New World (Aladdin's Theme),Peabo Bryson & Regina Belle,1,0,0.0
306,A Woman In Love (It's Not Me),Tom Petty And The Heartbreakers,80,0,0.0
307,A Woman Like You,Lee Brice,33,0,0.0
308,A Woman Needs Love (Just Like You Do),Ray Parker Jr. & Raydio,4,0,0.0
309,A Woman's Love,Alan Jackson,73,0,0.0
310,A Woman's Worth,Alicia Keys,7,1,0.0030959752321981426
311,A Word In Spanish,Elton John,20,0,0.0
312,A World Without Heroes,KISS,56,0,0.0
313,A Year Without Rain,Selena Gomez & The Scene,35,0,0.0
314,A$AP Forever,A$AP Rocky Featuring Moby,63,16,0.05228758169934641
315,A-O-K,Tai Verdes,34,1,0.0037735849056603774
316,A-YO,Lady Gaga,66,0,0.0
317,AA,Walker Hayes,28,3,0.013333333333333334
318,ABC-123,Levert,50,2,0.005390835579514825
319,AM To PM,Christina Milian,27,0,0.0
320,AP,Pop Smoke,64,3,0.01098901098901099
321,ASAP,T.I.,75,5,0.011904761904761904
322,ASMR,21 Savage,95,7,0.019886363636363636
323,ATLiens,OutKast,36,12,0.0345821325648415
324,ATM,J. Cole,42,7,0.024305555555555556
325,Aaron's Party (Come Get It),Aaron Carter,35,0,0.0
326,Abacab,Genesis,26,0,0.0
327,Abadabadango,Kim Carnes,67,0,0.0
328,About Damn Time,Lizzo,1,13,0.06951871657754011
329,About The Money,T.I. Featuring Young Thug,47,27,0.05152671755725191
330,About You,Trey Songz,83,0,0.0
331,About You Now,Miranda Cosgrove,47,0,0.0
332,Abracadabra,The Steve Miller Band,1,0,0.0
333,Absence Of The Heart,Deana Carter,83,0,0.0
334,Absolute Beginners,David Bowie,59,1,0.011235955056179775
335,Absolutely (Story Of A Girl),Nine Days,6,0,0.0
336,Acapella,Karmin,77,0,0.0
337,Accidentally In Love,Counting Crows,39,0,0.0
338,According To You,Orianthi,17,0,0.0
339,Achy Breaky Heart,Billy Ray Cyrus,4,0,0.0
340,Acquainted,The Weeknd,60,2,0.009009009009009009
341,Across The Miles,Survivor,74,0,0.0
342,Across The River,Bruce Hornsby & The Range,22,0,0.0
343,Act A Fool,Ludacris,32,6,0.012121212121212121
344,Act Right,Yo Gotti Featuring Jeezy & YG,100,17,0.04899135446685879
345,Act Up,City Girls,26,33,0.10543130990415335
346,Action,"Evelyn ""Champagne"" King",75,0,0.0
347,Action,Terror Fabulous Featuring Nadine Sutherland,43,0,0.0
348,Addams Family (Whoomp!),Tag Team,84,0,0.0
349,Addams Groove,M.C. Hammer,7,0,0.0
350,Adderall (Corvette Corvette),Popp Hunna,78,15,0.07009345794392523
351,Addicted,Saving Abel,20,0,0.0
352,Addicted,Simple Plan,45,2,0.019417475728155338
353,Addicted To Love,Robert Palmer,2,0,0.0
354,Addictive,Truth Hurts Featuring Rakim,9,1,0.0027624309392265192
355,Adia,Sarah McLachlan,4,0,0.0
356,Adicto,"Tainy, Anuel AA & Ozuna",98,0,0.0
357,Adore You,Harry Styles,6,0,0.0
358,Adore You,Miley Cyrus,22,0,0.0
359,Adorn,Miguel,17,0,0.0
360,Adult Education,Daryl Hall John Oates,9,0,0.0
361,Adventure Of A Lifetime,Coldplay,28,0,0.0
362,Advice For The Young At Heart,Tears For Fears,89,0,0.0
363,Aerials,System Of A Down,55,0,0.0
364,Affair Of The Heart,Rick Springfield,9,0,0.0
365,Afraid To Sleep,Vicci Martinez,78,0,0.0
366,Africa,Toto,1,0,0.0
367,Africa,Weezer,54,0,0.0
368,Afro Puffs,The Lady Of Rage,57,6,0.012605042016806723
369,"After 12, Before 6",Sam Salter,51,0,0.0
370,After A Few,Travis Denning,33,1,0.007575757575757576
371,After All,Al Jarreau,69,0,0.0
372,After Dark,Drake Featuring Static Major & Ty Dolla $ign,56,1,0.0032679738562091504
373,After Hours,The Weeknd,61,0,0.0
374,After Party,Don Toliver,57,0,0.0
375,After Party,Koffee Brown,44,1,0.0036101083032490976
376,After The Fall,Journey,24,0,0.0
377,After The Fire,Roger Daltrey,52,0,0.0
378,After The Glitter Fades,Stevie Nicks,33,0,0.0
379,After The Rain,Nelson,6,0,0.0
380,After You,Dionne Warwick,65,0,0.0
381,Afterglow,Ed Sheeran,29,0,0.0
382,Afternoons & Coffeespoons,Crash Test Dummies,66,0,0.0
383,Again,Faith Evans,47,0,0.0
384,Again,Fetty Wap,37,4,0.010610079575596816
385,Again,Janet Jackson,1,0,0.0
386,Again,Lenny Kravitz,4,0,0.0
387,Again And Again,Jewel,89,0,0.0
388,Again Tonight,John Mellencamp,36,0,0.0
389,Against All Odds (Take A Look At Me Now),Phil Collins,1,0,0.0
390,Against The Wind,Bob Seger,5,0,0.0
391,Age Ain't Nothing But A Number,Aaliyah,76,0,0.0
392,Agora Hills,Doja Cat,18,11,0.03374233128834356
393,Agosto,Bad Bunny,74,0,0.0
394,Aguacero,Bad Bunny,44,0,0.0
395,Ah! Leah!,Donnie Iris,29,0,0.0
396,Ahhh Ha,Lil Durk,18,47,0.10514541387024609
397,Ai Se Eu Te Pego,Michel Telo,90,0,0.0
398,Aim For The Moon,Pop Smoke Featuring Quavo,34,2,0.006688963210702341
399,Aiming At Your Heart,The Temptations,67,0,0.0
400,Ain't 2 Proud 2 Beg,TLC,6,1,0.001834862385321101
401,Ain't Always The Cowboy,Jon Pardi,56,1,0.008064516129032258
402,Ain't Back Yet,Kenny Chesney,50,0,0.0
403,Ain't Easy,YoungBoy Never Broke Again,83,6,0.027649769585253458
404,Ain't Gonna Hurt Nobody,Kid 'N Play,51,0,0.0
405,Ain't It Fun,Paramore,12,0,0.0
406,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,1,0,0.0
407,Ain't Leavin Without You,Jaheim,93,0,0.0
408,Ain't My Fault,Zara Larsson,76,1,0.0033003300330033004
409,Ain't No Nigga/Dead Presidents,Jay-Z Featuring Foxxy Brown,50,23,0.044921875
410,Ain't No Other Man,Christina Aguilera,7,4,0.014492753623188406
411,Ain't No Rest For The Wicked,Cage The Elephant,83,0,0.0
412,Ain't No Stopping Us Now,Kane Brown,88,2,0.008968609865470852
413,Ain't No Sunshine,Kris Allen,37,0,0.0
414,Ain't Nobody,Chaka Khan,22,0,0.0
415,Ain't Nobody,Diana King,94,0,0.0
416,Ain't Nobody Like You,Miki Howard,84,0,0.0
417,Ain't Nothin' Goin' On But The Rent,Gwen Guthrie,42,0,0.0
418,Ain't Nothing 'Bout You,Brooks & Dunn,26,0,0.0
419,Ain't Nothing Like The Real Thing/You're All I Need To Get By,Chris Christian (with Amy Holland),88,0,0.0
420,Ain't Nuthin' But A She Thing,Salt-N-Pepa,38,2,0.0058997050147492625
421,Ain't Seen Love Like That,Mr. Big,83,0,0.0
422,Ain't Shit,Doja Cat,31,22,0.09734513274336283
423,Ain't So Easy,David & David,54,0,0.0
424,Ain't That Just The Way,Lutricia McNeal,64,0,0.0
425,Ain't That Some,Morgan Wallen,31,12,0.05741626794258373
426,Ain't Too Proud To Beg,Rick Astley,89,0,0.0
427,Ain't Worried About Nothin,French Montana,63,7,0.014583333333333334
428,Ain't Worth The Whiskey,Cole Swindell,43,2,0.015267175572519083
429,Ain't Your Mama,Jennifer Lopez,76,0,0.0
430,Aint Gotta Dollar,Oliver Anthony Music,82,0,0.0
431,Air Force Ones,"Nelly Featuring Kyjuan, Ali & Murphy Lee",3,3,0.006607929515418502
432,Airplanes,B.o.B Featuring Hayley Williams,2,2,0.006825938566552901
433,Alabama Getaway,Grateful Dead,72,0,0.0
434,Alcohol,Brad Paisley,28,0,0.0
435,Alejandro,Lady Gaga,6,0,0.0
436,Alibis,Sergio Mendes,29,0,0.0
437,Alibis,Tracy Lawrence,72,0,0.0
438,Alice,Avril Lavigne,71,0,0.0
439,Alien,Atlanta Rhythm Section,29,0,0.0
440,Alien Superstar,Beyonce,19,3,0.011811023622047244
441,Alive,Krewella,32,0,0.0
442,Alive,P.O.D.,45,0,0.0
443,Alive,Sia,56,0,0.0
444,Alive & Kicking,Simple Minds,3,0,0.0
445,All 4 Love,Color Me Badd,1,0,0.0
446,All About It,Hoodie Allen Featuring Ed Sheeran,76,7,0.02857142857142857
447,All About Soul,Billy Joel,29,0,0.0
448,All About That Bass,Meghan Trainor,1,2,0.0071174377224199285
449,All About Tonight,Blake Shelton,37,0,0.0
450,All Alone,Lil Uzi Vert,76,16,0.0471976401179941
451,All Along,Blessid Union Of Souls,70,0,0.0
452,All American Girls,Sister Sledge,79,0,0.0
453,All Around Me,Flyleaf,43,0,0.0
454,All Around Me,Justin Bieber,100,0,0.0
455,All Around The World,Justin Bieber Featuring Ludacris,65,0,0.0
456,All Around The World,Lisa Stansfield,3,0,0.0
457,All Bad,Justin Bieber,50,1,0.008403361344537815
458,All Because Of You,Marques Houston Featuring Young Rome,69,0,0.0
459,All By Myself,Celine Dion,4,0,0.0
460,All By Myself,Glee Cast,87,0,0.0
461,All Cried Out,Allure Featuring 112,4,1,0.0070921985815602835
462,All Cried Out,Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou,8,1,0.009009009009009009
463,All Da Smoke,Future & Young Thug,77,6,0.018018018018018018
464,All Day,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",15,9,0.020785219399538105
465,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,26,8,0.02531645569620253
466,All Eyez,The Game Featuring Jeremih,84,4,0.016877637130801686
467,All Eyez On Me,Monica,70,0,0.0
